Model,R²,RMSE,MAE
Lasso Regression,0.5670234412535448,3.787449928590751,2.9471649395623785
ElasticNet Regression,0.5667707219106151,3.7885550949212567,2.943903818545616
Ridge Regression,0.5657979030395022,3.7928063210040004,2.936838518030696
Linear Regression,0.5657243206201479,3.793127682927863,2.936783398696973
Polynomial Regression,0.5537821259679923,3.844927801339792,3.016658648446495
Gradient Boosting,0.5316932845506226,3.938944853643254,3.098991070693984
Random Forest,0.5095226413255316,4.031105737419396,3.1660084667130595
KNN,0.436238994306402,4.3217757117548325,3.371189979123173
SVR,0.43120054688000264,4.341045050797902,3.181554239884807
Decision Tree,-0.26153453519822345,6.464936743551409,4.843423799582464
