season,round,race_name,driver_id,driver_code,driver_name,constructor_id,constructor,qualifying_position,Q1,Q2,Q3
2018,1,Australian Grand Prix,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,1,1:22.824,1:22.051,1:21.164
2018,1,Australian Grand Prix,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,2,1:23.096,1:22.507,1:21.828
2018,1,Australian Grand Prix,vettel,VET,Sebastian Vettel,ferrari,Ferrari,3,1:23.348,1:21.944,1:21.838
2018,1,Australian Grand Prix,max_verstappen,VER,Max Verstappen,red_bull,Red Bull,4,1:23.483,1:22.416,1:21.879
2018,1,Australian Grand Prix,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,5,1:23.494,1:22.897,1:22.152
2018,1,Australian Grand Prix,kevin_magnussen,MAG,Kevin Magnussen,haas,Haas F1 Team,6,1:23.909,1:23.300,1:23.187
2018,1,Australian Grand Prix,grosjean,GRO,Romain Grosjean,haas,Haas F1 Team,7,1:23.671,1:23.468,1:23.339
2018,1,Australian Grand Prix,hulkenberg,HUL,Nico Hülkenberg,renault,Renault,8,1:23.782,1:23.544,1:23.532
2018,1,Australian Grand Prix,sainz,SAI,Carlos Sainz,renault,Renault,9,1:23.529,1:23.061,1:23.577
2018,1,Australian Grand Prix,bottas,BOT,Valtteri Bottas,mercedes,Mercedes,10,1:23.686,1:22.089,
2018,1,Australian Grand Prix,alonso,ALO,Fernando Alonso,mclaren,McLaren,11,1:23.597,1:23.692,
2018,1,Australian Grand Prix,vandoorne,VAN,Stoffel Vandoorne,mclaren,McLaren,12,1:24.073,1:23.853,
2018,1,Australian Grand Prix,perez,PER,Sergio Pérez,force_india,Force India,13,1:24.344,1:24.005,
2018,1,Australian Grand Prix,stroll,STR,Lance Stroll,williams,Williams,14,1:24.464,1:24.230,
2018,1,Australian Grand Prix,ocon,OCO,Esteban Ocon,force_india,Force India,15,1:24.503,1:24.786,
2018,1,Australian Grand Prix,brendon_hartley,HAR,Brendon Hartley,toro_rosso,Toro Rosso,16,1:24.532,,
2018,1,Australian Grand Prix,ericsson,ERI,Marcus Ericsson,sauber,Sauber,17,1:24.556,,
2018,1,Australian Grand Prix,leclerc,LEC,Charles Leclerc,sauber,Sauber,18,1:24.636,,
2018,1,Australian Grand Prix,sirotkin,SIR,Sergey Sirotkin,williams,Williams,19,1:24.922,,
2018,1,Australian Grand Prix,gasly,GAS,Pierre Gasly,toro_rosso,Toro Rosso,20,1:25.295,,
2018,2,Bahrain Grand Prix,vettel,VET,Sebastian Vettel,ferrari,Ferrari,1,1:29.060,1:28.341,1:27.958
2018,2,Bahrain Grand Prix,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,2,1:28.951,1:28.515,1:28.101
2018,2,Bahrain Grand Prix,bottas,BOT,Valtteri Bottas,mercedes,Mercedes,3,1:29.275,1:28.794,1:28.124
2018,2,Bahrain Grand Prix,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,4,1:29.396,1:28.458,1:28.220
2018,2,Bahrain Grand Prix,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,5,1:29.552,1:28.962,1:28.398
2018,2,Bahrain Grand Prix,gasly,GAS,Pierre Gasly,toro_rosso,Toro Rosso,6,1:30.121,1:29.836,1:29.329
2018,2,Bahrain Grand Prix,kevin_magnussen,MAG,Kevin Magnussen,haas,Haas F1 Team,7,1:29.594,1:29.623,1:29.358
2018,2,Bahrain Grand Prix,hulkenberg,HUL,Nico Hülkenberg,renault,Renault,8,1:30.260,1:29.187,1:29.570
2018,2,Bahrain Grand Prix,ocon,OCO,Esteban Ocon,force_india,Force India,9,1:30.338,1:30.009,1:29.874
2018,2,Bahrain Grand Prix,sainz,SAI,Carlos Sainz,renault,Renault,10,1:29.893,1:29.802,1:29.986
2018,2,Bahrain Grand Prix,brendon_hartley,HAR,Brendon Hartley,toro_rosso,Toro Rosso,11,1:30.412,1:30.105,
2018,2,Bahrain Grand Prix,perez,PER,Sergio Pérez,force_india,Force India,12,1:30.218,1:30.156,
2018,2,Bahrain Grand Prix,alonso,ALO,Fernando Alonso,mclaren,McLaren,13,1:30.530,1:30.212,
2018,2,Bahrain Grand Prix,vandoorne,VAN,Stoffel Vandoorne,mclaren,McLaren,14,1:30.479,1:30.525,
2018,2,Bahrain Grand Prix,max_verstappen,VER,Max Verstappen,red_bull,Red Bull,15,1:29.374,,
2018,2,Bahrain Grand Prix,grosjean,GRO,Romain Grosjean,haas,Haas F1 Team,16,1:30.530,,
2018,2,Bahrain Grand Prix,ericsson,ERI,Marcus Ericsson,sauber,Sauber,17,1:31.063,,
2018,2,Bahrain Grand Prix,sirotkin,SIR,Sergey Sirotkin,williams,Williams,18,1:31.414,,
2018,2,Bahrain Grand Prix,leclerc,LEC,Charles Leclerc,sauber,Sauber,19,1:31.420,,
2018,2,Bahrain Grand Prix,stroll,STR,Lance Stroll,williams,Williams,20,1:31.503,,
2018,3,Chinese Grand Prix,vettel,VET,Sebastian Vettel,ferrari,Ferrari,1,1:32.171,1:32.385,1:31.095
2018,3,Chinese Grand Prix,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,2,1:32.474,1:32.286,1:31.182
2018,3,Chinese Grand Prix,bottas,BOT,Valtteri Bottas,mercedes,Mercedes,3,1:32.921,1:32.063,1:31.625
2018,3,Chinese Grand Prix,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,4,1:33.283,1:31.914,1:31.675
2018,3,Chinese Grand Prix,max_verstappen,VER,Max Verstappen,red_bull,Red Bull,5,1:32.932,1:32.809,1:31.796
2018,3,Chinese Grand Prix,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,6,1:33.877,1:32.688,1:31.948
2018,3,Chinese Grand Prix,hulkenberg,HUL,Nico Hülkenberg,renault,Renault,7,1:33.545,1:32.494,1:32.532
2018,3,Chinese Grand Prix,perez,PER,Sergio Pérez,force_india,Force India,8,1:33.464,1:32.931,1:32.758
2018,3,Chinese Grand Prix,sainz,SAI,Carlos Sainz,renault,Renault,9,1:33.315,1:32.970,1:32.819
2018,3,Chinese Grand Prix,grosjean,GRO,Romain Grosjean,haas,Haas F1 Team,10,1:33.238,1:32.524,1:32.855
2018,3,Chinese Grand Prix,kevin_magnussen,MAG,Kevin Magnussen,haas,Haas F1 Team,11,1:33.359,1:32.986,
2018,3,Chinese Grand Prix,ocon,OCO,Esteban Ocon,force_india,Force India,12,1:33.585,1:33.057,
2018,3,Chinese Grand Prix,alonso,ALO,Fernando Alonso,mclaren,McLaren,13,1:33.428,1:33.232,
2018,3,Chinese Grand Prix,vandoorne,VAN,Stoffel Vandoorne,mclaren,McLaren,14,1:33.824,1:33.505,
2018,3,Chinese Grand Prix,brendon_hartley,HAR,Brendon Hartley,toro_rosso,Toro Rosso,15,1:34.013,1:33.795,
2018,3,Chinese Grand Prix,sirotkin,SIR,Sergey Sirotkin,williams,Williams,16,1:34.062,,
2018,3,Chinese Grand Prix,gasly,GAS,Pierre Gasly,toro_rosso,Toro Rosso,17,1:34.101,,
2018,3,Chinese Grand Prix,stroll,STR,Lance Stroll,williams,Williams,18,1:34.285,,
2018,3,Chinese Grand Prix,leclerc,LEC,Charles Leclerc,sauber,Sauber,19,1:34.454,,
2018,3,Chinese Grand Prix,ericsson,ERI,Marcus Ericsson,sauber,Sauber,20,1:34.914,,
2018,4,Azerbaijan Grand Prix,vettel,VET,Sebastian Vettel,ferrari,Ferrari,1,1:42.762,1:43.015,1:41.498
2018,4,Azerbaijan Grand Prix,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,2,1:42.693,1:42.676,1:41.677
2018,4,Azerbaijan Grand Prix,bottas,BOT,Valtteri Bottas,mercedes,Mercedes,3,1:43.355,1:42.679,1:41.837
2018,4,Azerbaijan Grand Prix,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,4,1:42.857,1:43.482,1:41.911
2018,4,Azerbaijan Grand Prix,max_verstappen,VER,Max Verstappen,red_bull,Red Bull,5,1:42.642,1:42.901,1:41.994
2018,4,Azerbaijan Grand Prix,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,6,1:42.538,1:42.510,1:42.490
2018,4,Azerbaijan Grand Prix,ocon,OCO,Esteban Ocon,force_india,Force India,7,1:43.021,1:42.967,1:42.523
2018,4,Azerbaijan Grand Prix,perez,PER,Sergio Pérez,force_india,Force India,8,1:43.992,1:43.366,1:42.547
2018,4,Azerbaijan Grand Prix,hulkenberg,HUL,Nico Hülkenberg,renault,Renault,9,1:43.746,1:43.232,1:43.066
2018,4,Azerbaijan Grand Prix,sainz,SAI,Carlos Sainz,renault,Renault,10,1:43.426,1:43.464,1:43.351
2018,4,Azerbaijan Grand Prix,stroll,STR,Lance Stroll,williams,Williams,11,1:44.359,1:43.585,
2018,4,Azerbaijan Grand Prix,sirotkin,SIR,Sergey Sirotkin,williams,Williams,12,1:44.261,1:43.886,
2018,4,Azerbaijan Grand Prix,alonso,ALO,Fernando Alonso,mclaren,McLaren,13,1:44.010,1:44.019,
2018,4,Azerbaijan Grand Prix,leclerc,LEC,Charles Leclerc,sauber,Sauber,14,1:43.752,1:44.074,
2018,4,Azerbaijan Grand Prix,kevin_magnussen,MAG,Kevin Magnussen,haas,Haas F1 Team,15,1:43.674,1:44.759,
2018,4,Azerbaijan Grand Prix,vandoorne,VAN,Stoffel Vandoorne,mclaren,McLaren,16,1:44.489,,
2018,4,Azerbaijan Grand Prix,gasly,GAS,Pierre Gasly,toro_rosso,Toro Rosso,17,1:44.496,,
2018,4,Azerbaijan Grand Prix,ericsson,ERI,Marcus Ericsson,sauber,Sauber,18,1:45.541,,
2018,4,Azerbaijan Grand Prix,brendon_hartley,HAR,Brendon Hartley,toro_rosso,Toro Rosso,19,1:57.354,,
2018,4,Azerbaijan Grand Prix,grosjean,GRO,Romain Grosjean,haas,Haas F1 Team,20,,,
2018,5,Spanish Grand Prix,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,1,1:17.633,1:17.166,1:16.173
2018,5,Spanish Grand Prix,bottas,BOT,Valtteri Bottas,mercedes,Mercedes,2,1:17.674,1:17.111,1:16.213
2018,5,Spanish Grand Prix,vettel,VET,Sebastian Vettel,ferrari,Ferrari,3,1:17.031,1:16.802,1:16.305
2018,5,Spanish Grand Prix,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,4,1:17.483,1:17.071,1:16.612
2018,5,Spanish Grand Prix,max_verstappen,VER,Max Verstappen,red_bull,Red Bull,5,1:17.411,1:17.266,1:16.816
2018,5,Spanish Grand Prix,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,6,1:17.623,1:17.638,1:16.818
2018,5,Spanish Grand Prix,kevin_magnussen,MAG,Kevin Magnussen,haas,Haas F1 Team,7,1:18.169,1:17.618,1:17.676
2018,5,Spanish Grand Prix,alonso,ALO,Fernando Alonso,mclaren,McLaren,8,1:18.276,1:18.100,1:17.721
2018,5,Spanish Grand Prix,sainz,SAI,Carlos Sainz,renault,Renault,9,1:18.480,1:17.803,1:17.790
2018,5,Spanish Grand Prix,grosjean,GRO,Romain Grosjean,haas,Haas F1 Team,10,1:18.305,1:17.699,1:17.835
2018,5,Spanish Grand Prix,vandoorne,VAN,Stoffel Vandoorne,mclaren,McLaren,11,1:18.885,1:18.323,
2018,5,Spanish Grand Prix,gasly,GAS,Pierre Gasly,toro_rosso,Toro Rosso,12,1:18.550,1:18.463,
2018,5,Spanish Grand Prix,ocon,OCO,Esteban Ocon,force_india,Force India,13,1:18.813,1:18.696,
2018,5,Spanish Grand Prix,leclerc,LEC,Charles Leclerc,sauber,Sauber,14,1:18.661,1:18.910,
2018,5,Spanish Grand Prix,perez,PER,Sergio Pérez,force_india,Force India,15,1:18.740,1:19.098,
2018,5,Spanish Grand Prix,hulkenberg,HUL,Nico Hülkenberg,renault,Renault,16,1:18.923,,
2018,5,Spanish Grand Prix,ericsson,ERI,Marcus Ericsson,sauber,Sauber,17,1:19.493,,
2018,5,Spanish Grand Prix,sirotkin,SIR,Sergey Sirotkin,williams,Williams,18,1:19.695,,
