season,round,race_name,date,driver_id,driver_code,driver_name,constructor_id,constructor,number,grid,position,points,laps,status,fastest_lap_rank,fastest_lap_time
2014,1,Australian Grand Prix,2014-03-16,rosberg,ROS,Nico Rosberg,mercedes,Mercedes,6,3,1,25,57,Finished,1,206.436
2014,1,Australian Grand Prix,2014-03-16,kevin_magnussen,MAG,Kevin Magnussen,mclaren,McLaren,20,4,2,18,57,Finished,6,205.131
2014,1,Australian Grand Prix,2014-03-16,button,BUT,Jenson Button,mclaren,McLaren,22,10,3,15,57,Finished,5,205.460
2014,1,Australian Grand Prix,2014-03-16,alonso,ALO,Fernando Alonso,ferrari,Ferrari,14,5,4,12,57,Finished,7,204.867
2014,1,Australian Grand Prix,2014-03-16,bottas,BOT,Valtteri Bottas,williams,Williams,77,15,5,10,57,Finished,3,206.128
2014,1,Australian Grand Prix,2014-03-16,hulkenberg,HUL,Nico Hülkenberg,force_india,Force India,27,7,6,8,57,Finished,2,206.235
2014,1,Australian Grand Prix,2014-03-16,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,7,11,7,6,57,Finished,8,204.814
2014,1,Australian Grand Prix,2014-03-16,vergne,VER,Jean-Éric Vergne,toro_rosso,Toro Rosso,25,6,8,4,57,Finished,10,203.763
2014,1,Australian Grand Prix,2014-03-16,kvyat,KVY,Daniil Kvyat,toro_rosso,Toro Rosso,26,8,9,2,57,Finished,11,203.387
2014,1,Australian Grand Prix,2014-03-16,perez,PER,Sergio Pérez,force_india,Force India,11,16,10,1,57,Finished,4,206.088
2014,1,Australian Grand Prix,2014-03-16,sutil,SUT,Adrian Sutil,sauber,Sauber,99,13,11,0,56,+1 Lap,9,204.472
2014,1,Australian Grand Prix,2014-03-16,gutierrez,GUT,Esteban Gutiérrez,sauber,Sauber,21,20,12,0,56,+1 Lap,13,201.882
2014,1,Australian Grand Prix,2014-03-16,chilton,CHI,Max Chilton,marussia,Marussia,4,17,13,0,55,+2 Laps,12,202.658
2014,1,Australian Grand Prix,2014-03-16,jules_bianchi,BIA,Jules Bianchi,marussia,Marussia,17,18,14,0,49,+8 Laps,16,199.621
2014,1,Australian Grand Prix,2014-03-16,grosjean,GRO,Romain Grosjean,lotus_f1,Lotus F1,8,22,15,0,43,ERS,15,200.363
2014,1,Australian Grand Prix,2014-03-16,maldonado,MAL,Pastor Maldonado,lotus_f1,Lotus F1,13,21,16,0,29,ERS,14,201.451
2014,1,Australian Grand Prix,2014-03-16,ericsson,ERI,Marcus Ericsson,caterham,Caterham,9,19,17,0,27,Oil pressure,18,196.141
2014,1,Australian Grand Prix,2014-03-16,vettel,VET,Sebastian Vettel,red_bull,Red Bull,1,12,18,0,3,Engine,17,196.682
2014,1,Australian Grand Prix,2014-03-16,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,44,1,19,0,2,Engine,20,173.636
2014,1,Australian Grand Prix,2014-03-16,massa,MAS,Felipe Massa,williams,Williams,19,9,20,0,0,Collision,19,190.361
2014,1,Australian Grand Prix,2014-03-16,kobayashi,KOB,Kamui Kobayashi,caterham,Caterham,10,14,21,0,0,Collision,,
2014,1,Australian Grand Prix,2014-03-16,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,3,2,22,0,57,Disqualified,,
2014,2,Malaysian Grand Prix,2014-03-30,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,44,1,1,25,56,Finished,1,193.611
2014,2,Malaysian Grand Prix,2014-03-30,rosberg,ROS,Nico Rosberg,mercedes,Mercedes,6,3,2,18,56,Finished,2,191.946
2014,2,Malaysian Grand Prix,2014-03-30,vettel,VET,Sebastian Vettel,red_bull,Red Bull,1,2,3,15,56,Finished,4,191.341
2014,2,Malaysian Grand Prix,2014-03-30,alonso,ALO,Fernando Alonso,ferrari,Ferrari,14,4,4,12,56,Finished,3,191.569
2014,2,Malaysian Grand Prix,2014-03-30,hulkenberg,HUL,Nico Hülkenberg,force_india,Force India,27,7,5,10,56,Finished,10,188.284
2014,2,Malaysian Grand Prix,2014-03-30,button,BUT,Jenson Button,mclaren,McLaren,22,10,6,8,56,Finished,11,188.183
2014,2,Malaysian Grand Prix,2014-03-30,massa,MAS,Felipe Massa,williams,Williams,19,13,7,6,56,Finished,6,190.232
2014,2,Malaysian Grand Prix,2014-03-30,bottas,BOT,Valtteri Bottas,williams,Williams,77,18,8,4,56,Finished,9,189.189
2014,2,Malaysian Grand Prix,2014-03-30,kevin_magnussen,MAG,Kevin Magnussen,mclaren,McLaren,20,8,9,2,55,+1 Lap,8,189.372
2014,2,Malaysian Grand Prix,2014-03-30,kvyat,KVY,Daniil Kvyat,toro_rosso,Toro Rosso,26,11,10,1,55,+1 Lap,13,187.026
2014,2,Malaysian Grand Prix,2014-03-30,grosjean,GRO,Romain Grosjean,lotus_f1,Lotus F1,8,15,11,0,55,+1 Lap,12,187.855
2014,2,Malaysian Grand Prix,2014-03-30,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,7,6,12,0,55,+1 Lap,7,189.812
2014,2,Malaysian Grand Prix,2014-03-30,kobayashi,KOB,Kamui Kobayashi,caterham,Caterham,10,20,13,0,55,+1 Lap,15,185.190
2014,2,Malaysian Grand Prix,2014-03-30,ericsson,ERI,Marcus Ericsson,caterham,Caterham,9,22,14,0,54,+2 Laps,14,185.626
2014,2,Malaysian Grand Prix,2014-03-30,chilton,CHI,Max Chilton,marussia,Marussia,4,21,15,0,54,+2 Laps,18,184.341
2014,2,Malaysian Grand Prix,2014-03-30,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,3,5,16,0,49,Technical,5,190.635
2014,2,Malaysian Grand Prix,2014-03-30,gutierrez,GUT,Esteban Gutiérrez,sauber,Sauber,21,12,17,0,35,Gearbox,16,185.140
2014,2,Malaysian Grand Prix,2014-03-30,sutil,SUT,Adrian Sutil,sauber,Sauber,99,17,18,0,32,Electrical,17,184.698
2014,2,Malaysian Grand Prix,2014-03-30,vergne,VER,Jean-Éric Vergne,toro_rosso,Toro Rosso,25,9,19,0,18,Power Unit,19,183.869
2014,2,Malaysian Grand Prix,2014-03-30,jules_bianchi,BIA,Jules Bianchi,marussia,Marussia,17,19,20,0,8,Brakes,21,179.010
2014,2,Malaysian Grand Prix,2014-03-30,maldonado,MAL,Pastor Maldonado,lotus_f1,Lotus F1,13,16,21,0,7,Engine,20,179.888
2014,2,Malaysian Grand Prix,2014-03-30,perez,PER,Sergio Pérez,force_india,Force India,11,14,22,0,0,Withdrew,,
2014,3,Bahrain Grand Prix,2014-04-06,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,44,2,1,25,57,Finished,2,200.634
2014,3,Bahrain Grand Prix,2014-04-06,rosberg,ROS,Nico Rosberg,mercedes,Mercedes,6,1,2,18,57,Finished,1,200.816
2014,3,Bahrain Grand Prix,2014-04-06,perez,PER,Sergio Pérez,force_india,Force India,11,4,3,15,57,Finished,7,196.165
2014,3,Bahrain Grand Prix,2014-04-06,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,3,13,4,12,57,Finished,4,196.266
2014,3,Bahrain Grand Prix,2014-04-06,hulkenberg,HUL,Nico Hülkenberg,force_india,Force India,27,11,5,10,57,Finished,3,197.228
2014,3,Bahrain Grand Prix,2014-04-06,vettel,VET,Sebastian Vettel,red_bull,Red Bull,1,10,6,8,57,Finished,6,196.181
2014,3,Bahrain Grand Prix,2014-04-06,massa,MAS,Felipe Massa,williams,Williams,19,7,7,6,57,Finished,5,196.260
2014,3,Bahrain Grand Prix,2014-04-06,bottas,BOT,Valtteri Bottas,williams,Williams,77,3,8,4,57,Finished,13,195.296
2014,3,Bahrain Grand Prix,2014-04-06,alonso,ALO,Fernando Alonso,ferrari,Ferrari,14,9,9,2,57,Finished,12,195.355
2014,3,Bahrain Grand Prix,2014-04-06,raikkonen,RAI,Kimi Räikkönen,ferrari,Ferrari,7,5,10,1,57,Finished,8,195.933
2014,3,Bahrain Grand Prix,2014-04-06,kvyat,KVY,Daniil Kvyat,toro_rosso,Toro Rosso,26,12,11,0,57,Finished,15,194.520
2014,3,Bahrain Grand Prix,2014-04-06,grosjean,GRO,Romain Grosjean,lotus_f1,Lotus F1,8,16,12,0,57,Finished,9,195.923
2014,3,Bahrain Grand Prix,2014-04-06,chilton,CHI,Max Chilton,marussia,Marussia,4,21,13,0,57,Finished,21,191.340
2014,3,Bahrain Grand Prix,2014-04-06,maldonado,MAL,Pastor Maldonado,lotus_f1,Lotus F1,13,17,14,0,57,Finished,11,195.484
2014,3,Bahrain Grand Prix,2014-04-06,kobayashi,KOB,Kamui Kobayashi,caterham,Caterham,10,18,15,0,57,Finished,18,192.434
2014,3,Bahrain Grand Prix,2014-04-06,jules_bianchi,BIA,Jules Bianchi,marussia,Marussia,17,19,16,0,56,+1 Lap,22,190.684
2014,3,Bahrain Grand Prix,2014-04-06,button,BUT,Jenson Button,mclaren,McLaren,22,6,17,0,55,Clutch,10,195.683
2014,3,Bahrain Grand Prix,2014-04-06,kevin_magnussen,MAG,Kevin Magnussen,mclaren,McLaren,20,8,18,0,40,Clutch,14,194.621
2014,3,Bahrain Grand Prix,2014-04-06,gutierrez,GUT,Esteban Gutiérrez,sauber,Sauber,21,15,19,0,39,Collision,16,193.481
2014,3,Bahrain Grand Prix,2014-04-06,ericsson,ERI,Marcus Ericsson,caterham,Caterham,9,20,20,0,33,Retired,17,192.647
2014,3,Bahrain Grand Prix,2014-04-06,vergne,VER,Jean-Éric Vergne,toro_rosso,Toro Rosso,25,14,21,0,18,Retired,19,191.669
2014,3,Bahrain Grand Prix,2014-04-06,sutil,SUT,Adrian Sutil,sauber,Sauber,99,22,22,0,17,Collision,20,191.403
2014,4,Chinese Grand Prix,2014-04-20,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,44,1,1,25,54,Finished,2,193.916
2014,4,Chinese Grand Prix,2014-04-20,rosberg,ROS,Nico Rosberg,mercedes,Mercedes,6,4,2,18,54,Finished,1,195.450
2014,4,Chinese Grand Prix,2014-04-20,alonso,ALO,Fernando Alonso,ferrari,Ferrari,14,5,3,15,54,Finished,4,192.235
2014,4,Chinese Grand Prix,2014-04-20,ricciardo,RIC,Daniel Ricciardo,red_bull,Red Bull,3,2,4,12,54,Finished,3,193.387
2014,4,Chinese Grand Prix,2014-04-20,vettel,VET,Sebastian Vettel,red_bull,Red Bull,1,3,5,10,54,Finished,5,192.070
